date,hour,depth,value,variable
2014-07-30,7,6,9.643523529411764,temperature
2014-07-30,7,6.5,8.983593333333333,temperature
2014-07-30,7,7,8.3852125,temperature
2014-07-30,7,7.5,7.939986666666667,temperature
2014-07-30,7,8,7.645347058823529,temperature
2014-07-30,7,8.5,7.494775,temperature
2014-07-30,7,9,7.375506666666666,temperature
2014-07-30,7,9.5,7.288672222222222,temperature
2014-08-13,7,0,21.612058823529413,temperature
2014-08-13,7,0.5,21.60625,temperature
2014-08-13,7,1,21.6079,temperature
2014-08-13,7,1.5,21.606226666666668,temperature
2014-08-13,7,10,7.243673333333334,temperature
2014-08-13,7,10.5,7.152888235294117,temperature
2014-08-13,7,11,7.1226,temperature
2014-08-13,7,2,21.603106666666665,temperature
2014-08-13,7,2.5,21.60210769230769,temperature
2014-08-13,7,3,21.59785,temperature
2014-08-13,7,3.5,21.562982352941177,temperature
2014-08-13,7,4,19.05679411764706,temperature
2014-08-13,7,4.5,15.17905,temperature
2014-08-13,7,5,13.63804375,temperature
2014-08-13,7,5.5,12.0157,temperature
2014-08-13,7,6,10.5259,temperature
2014-08-13,7,6.5,9.68116,temperature
2014-08-13,7,7,8.8238375,temperature
2014-08-13,7,7.5,8.318025,temperature
2014-08-13,7,8,8.02473125,temperature
2014-08-13,7,8.5,7.646029411764706,temperature
2014-08-13,7,9,7.447275,temperature
2014-08-13,7,9.5,7.347347058823529,temperature
2014-09-04,7,0,25.884428571428572,temperature
2014-09-04,7,0.5,25.885395,temperature
2014-09-04,7,1,25.880705555555554,temperature
2014-09-04,7,1.5,25.692094444444443,temperature
2014-09-04,7,10,7.40206875,temperature
2014-09-04,7,10.5,7.293872222222222,temperature
2014-09-04,7,11,7.262966666666667,temperature
2014-09-04,7,2,24.815975,temperature
2014-09-04,7,2.5,23.475616666666667,temperature
2014-09-04,7,3,21.815316666666668,temperature
2014-09-04,7,3.5,19.732716666666665,temperature
2014-09-04,7,4,17.66760625,temperature
2014-09-04,7,4.5,15.714888888888888,temperature
2014-09-04,7,5,13.40315,temperature
2014-09-04,7,5.5,11.27988125,temperature
2014-09-04,7,6,9.929335294117648,temperature
2014-09-04,7,6.5,9.098382352941176,temperature
2014-09-04,7,7,8.551244444444444,temperature
2014-09-04,7,7.5,8.1818,temperature
2014-09-04,7,8,7.912366666666666,temperature
2014-09-04,7,8.5,7.703589473684211,temperature
2014-09-04,7,9,7.58302,temperature
2014-09-04,7,9.5,7.50653125,temperature
2014-09-25,7,0,19.393338461538463,temperature
2014-09-25,7,0.5,19.388873684210527,temperature
2014-09-25,7,1,19.388594736842105,temperature
2014-09-25,7,1.5,19.38247894736842,temperature
2014-09-25,7,10,7.470678947368421,temperature
2014-09-25,7,10.5,7.38599,temperature
2014-09-25,7,11,7.3179,temperature
2014-09-25,7,2,19.36941052631579,temperature
2014-09-25,7,2.5,19.365826315789473,temperature
2014-09-25,7,3,19.3583,temperature
2014-09-25,7,3.5,19.34581111111111,temperature
2014-09-25,7,4,19.32497619047619,temperature
2014-09-25,7,4.5,17.44723,temperature
2014-09-25,7,5,14.089105,temperature
2014-09-25,7,5.5,12.140171428571428,temperature
2014-09-25,7,6,10.68413,temperature
2014-09-25,7,6.5,9.535338095238096,temperature
2014-09-25,7,7,8.85231,temperature
2014-09-25,7,7.5,8.292563157894737,temperature
2014-09-25,7,8,7.94391,temperature
2014-09-25,7,8.5,7.74911,temperature
2014-09-25,7,9,7.617811111111111,temperature
2014-09-25,7,9.5,7.52581,temperature
2014-10-23,7,0,13.450816666666666,temperature
2014-10-23,7,0.5,13.457441176470589,temperature
2014-10-23,7,1,13.482105882352942,temperature
2014-10-23,7,1.5,13.48995625,temperature
2014-10-23,7,10,7.649547058823529,temperature
2014-10-23,7,10.5,7.561975,temperature
2014-10-23,7,2,13.494792857142857,temperature
2014-10-23,7,2.5,13.496435294117648,temperature
2014-10-23,7,3,13.495733333333334,temperature
2014-10-23,7,3.5,13.491938461538462,temperature
2014-10-23,7,4,13.46415,temperature
2014-10-23,7,4.5,13.461275,temperature
2014-10-23,7,5,13.442433333333334,temperature
2014-10-23,7,5.5,13.434215384615385,temperature
2014-10-23,7,6,13.415866666666666,temperature
2014-10-23,7,6.5,13.398426666666667,temperature
2014-10-23,7,7,13.4037125,temperature
2014-10-23,7,7.5,13.372307692307691,temperature
2014-10-23,7,8,11.8033625,temperature
2014-10-23,7,8.5,8.187042857142858,temperature
2014-10-23,7,9,7.91121875,temperature
2014-10-23,7,9.5,7.784882352941176,temperature
2015-05-14,7,0,21.0498,temperature
2015-05-14,7,0.5,21.02390909090909,temperature
2015-05-14,7,1,20.819904347826085,temperature
2015-05-14,7,1.5,20.013536,temperature
2015-05-14,7,10,7.581130769230769,temperature
2015-05-14,7,10.5,7.52027037037037,temperature
2015-05-14,7,11,7.488765217391304,temperature
2015-05-14,7,2,18.419908695652175,temperature
2015-05-14,7,2.5,16.570903703703703,temperature
2015-05-14,7,3,15.143007142857144,temperature
2015-05-14,7,3.5,14.145106666666667,temperature
2015-05-14,7,4,13.334755555555555,temperature
2015-05-14,7,4.5,12.485289655172414,temperature
2015-05-14,7,5,11.404946428571428,temperature
2015-05-14,7,5.5,10.587648,temperature
2015-05-14,7,6,9.888227586206897,temperature
2015-05-14,7,6.5,9.27971111111111,temperature
2015-05-14,7,7,8.7452,temperature
2015-05-14,7,7.5,8.328076,temperature
2015-05-14,7,8,7.965808333333333,temperature
2015-05-14,7,8.5,7.768141666666667,temperature
2015-05-14,7,9,7.704558620689655,temperature
2015-05-14,7,9.5,7.655075,temperature
2015-05-21,7,0,20.056217647058823,temperature
2015-05-21,7,0.5,20.87356923076923,temperature
2015-05-21,7,1,21.277746666666665,temperature
2015-05-21,7,1.5,21.30886875,temperature
2015-05-21,7,10,7.590123076923077,temperature
2015-05-21,7,10.5,7.5493625,temperature
2015-05-21,7,2,21.1815,temperature
2015-05-21,7,2.5,20.186991666666668,temperature
2015-05-21,7,3,17.25967142857143,temperature
2015-05-21,7,3.5,15.29015,temperature
2015-05-21,7,4,14.05885,temperature
2015-05-21,7,4.5,13.034892857142857,temperature
2015-05-21,7,5,11.859342857142858,temperature
2015-05-21,7,5.5,10.8245,temperature
2015-05-21,7,6,10.026173333333332,temperature
2015-05-21,7,6.5,9.085857142857144,temperature
2015-05-21,7,7,8.484446666666667,temperature
2015-05-21,7,7.5,8.112642857142857,temperature
2015-05-21,7,8,7.8803214285714285,temperature
2015-05-21,7,8.5,7.736607142857143,temperature
2015-05-21,7,9,7.676642857142857,temperature
2015-05-21,7,9.5,7.641830769230769,temperature
2015-05-28,7,0.5,23.840482352941176,temperature
2015-05-28,7,1,23.70498125,temperature
2015-05-28,7,1.5,23.68366923076923,temperature
2015-05-28,7,10,7.72556,temperature
2015-05-28,7,10.5,7.56654,temperature
2015-05-28,7,11,7.495916,temperature
2015-05-28,7,2,23.326999999999998,temperature
2015-05-28,7,2.5,20.361161538461538,temperature
2015-05-28,7,3,17.83290625,temperature
2015-05-28,7,3.5,15.996484615384615,temperature
2015-05-28,7,4,14.76413076923077,temperature
2015-05-28,7,4.5,13.658545454545454,temperature
2015-05-28,7,5,12.562983333333333,temperature
2015-05-28,7,5.5,11.435508333333333,temperature
2015-05-28,7,6,10.525153846153847,temperature
2015-05-28,7,6.5,9.844225,temperature
2015-05-28,7,7,9.280508333333334,temperature
2015-05-28,7,7.5,8.824561538461538,temperature
2015-05-28,7,8,8.448621428571428,temperature
2015-05-28,7,8.5,8.192821428571428,temperature
2015-05-28,7,9,8.036866666666667,temperature
2015-05-28,7,9.5,7.919333333333333,temperature
2015-06-11,7,0,24.72834,temperature
2015-06-11,7,0.5,24.649625,temperature
2015-06-11,7,1,24.53546,temperature
2015-06-11,7,1.5,24.478872727272726,temperature
2015-06-11,7,10,7.75834705882353,temperature
2015-06-11,7,10.5,7.624244444444445,temperature
2015-06-11,7,2,23.88183076923077,temperature
2015-06-11,7,2.5,21.921253846153846,temperature
2015-06-11,7,3,20.199276923076923,temperature
2015-06-11,7,3.5,18.725025,temperature
2015-06-11,7,4,16.622084615384615,temperature
2015-06-11,7,4.5,14.647509090909091,temperature
2015-06-11,7,5,13.14025,temperature
2015-06-11,7,5.5,12.027947058823528,temperature
2015-06-11,7,6,11.0055,temperature
2015-06-11,7,6.5,10.368835294117646,temperature
2015-06-11,7,7,9.884941176470589,temperature
2015-06-11,7,7.5,9.235845,temperature
2015-06-11,7,8,8.710493333333334,temperature
2015-06-11,7,8.5,8.304769230769232,temperature
2015-06-11,7,9,8.06446875,temperature
2015-06-11,7,9.5,7.903023529411764,temperature
2015-06-18,7,0,27.91730831993079,temperature
2015-06-18,7,0.5,27.726151735093048,temperature
2015-06-18,7,1,27.48670915235578,temperature
2015-06-18,7,1.5,27.07951391297321,temperature
2015-06-18,7,10,7.813715596131991,temperature
2015-06-18,7,10.5,7.740542135416667,temperature
2015-06-18,7,11,7.643166666666667,temperature
2015-06-18,7,2,25.867837679135203,temperature
2015-06-18,7,2.5,23.905332262765654,temperature
2015-06-18,7,3,21.613785445262238,temperature
2015-06-18,7,3.5,19.157731661405375,temperature
2015-06-18,7,4,16.861709775534866,temperature
2015-06-18,7,4.5,14.878281852138064,temperature
2015-06-18,7,5,13.30571901537144,temperature
2015-06-18,7,5.5,11.9857556322087,temperature
2015-06-18,7,6,11.039629040665458,temperature
2015-06-18,7,6.5,10.201902125263977,temperature
2015-06-18,7,7,9.423886950630632,temperature
2015-06-18,7,7.5,8.790644677435852,temperature
2015-06-18,7,8,8.415331788569613,temperature
2015-06-18,7,8.5,8.177346670672048,temperature
2015-06-18,7,9,8.042940470990285,temperature
2015-06-18,7,9.5,7.929222069496228,temperature
2015-06-19,7,0,26.91108795093795,temperature
2015-06-19,7,0.5,26.94627371212121,temperature
2015-06-19,7,1,26.942330261532515,temperature
2015-06-19,7,1.5,26.933578870046517,temperature
2015-06-19,7,10,7.788501419413919,temperature
2015-06-19,7,10.5,7.731356151960784,temperature
2015-06-19,7,2,26.89814463314358,temperature
2015-06-19,7,2.5,25.0867498140681,temperature
2015-06-19,7,3,21.4371482542047,temperature
2015-06-19,7,3.5,18.703745315734988,temperature
2015-06-19,7,4,17.029606139122315,temperature
2015-06-19,7,4.5,15.23757067688378,temperature
2015-06-19,7,5,13.577834182979,temperature
2015-06-19,7,5.5,12.256404856234244,temperature
2015-06-19,7,6,11.224369976648202,temperature
2015-06-19,7,6.5,10.332555470690615,temperature
2015-06-19,7,7,9.490658101851853,temperature
2015-06-19,7,7.5,8.91589829177719,temperature
2015-06-19,7,8,8.497902349374764,temperature
2015-06-19,7,8.5,8.177778736952936,temperature
2015-06-19,7,9,8.036656146978022,temperature
2015-06-19,7,9.5,7.8913336898148145,temperature
2015-06-25,7,0,27.95318,temperature
2015-06-25,7,0.5,27.816416666666665,temperature
2015-06-25,7,1,27.697564705882353,temperature
2015-06-25,7,1.5,27.299188235294118,temperature
2015-06-25,7,10,7.77834375,temperature
2015-06-25,7,10.5,7.7340333333333335,temperature
2015-06-25,7,2,26.71406111111111,temperature
2015-06-25,7,2.5,25.531011111111113,temperature
2015-06-25,7,3,23.069517647058824,temperature
2015-06-25,7,3.5,20.49738888888889,temperature
2015-06-25,7,4,18.338455555555555,temperature
2015-06-25,7,4.5,15.966388235294117,temperature
2015-06-25,7,5,13.866823529411764,temperature
2015-06-25,7,5.5,12.231905263157895,temperature
2015-06-25,7,6,11.128006666666666,temperature
2015-06-25,7,6.5,10.302785714285715,temperature
2015-06-25,7,7,9.389913333333332,temperature
2015-06-25,7,7.5,8.715786666666666,temperature
2015-06-25,7,8,8.35438,temperature
2015-06-25,7,8.5,8.156585714285715,temperature
2015-06-25,7,9,8.045975,temperature
2015-06-25,7,9.5,7.8968,temperature
2015-07-02,7,0,25.37398947368421,temperature
2015-07-02,7,0.5,25.35030666666667,temperature
2015-07-02,7,1,25.339982352941178,temperature
2015-07-02,7,1.5,25.324006666666666,temperature
2015-07-02,7,10,7.89883125,temperature
2015-07-02,7,10.5,7.736166666666667,temperature
2015-07-02,7,2,25.26361875,temperature
2015-07-02,7,2.5,24.63355,temperature
2015-07-02,7,3,23.817531250000002,temperature
2015-07-02,7,3.5,21.06711875,temperature
2015-07-02,7,4,18.0792,temperature
2015-07-02,7,4.5,16.364785714285713,temperature
2015-07-02,7,5,14.3425,temperature
2015-07-02,7,5.5,12.434106666666667,temperature
2015-07-02,7,6,11.134107142857143,temperature
2015-07-02,7,6.5,10.177221428571428,temperature
2015-07-02,7,7,9.34655,temperature
2015-07-02,7,7.5,8.764407142857143,temperature
2015-07-02,7,8,8.40424375,temperature
2015-07-02,7,8.5,8.181633333333334,temperature
2015-07-02,7,9,8.091694117647059,temperature
2015-07-02,7,9.5,8.016557894736842,temperature
2015-07-09,7,0,25.047134210526316,temperature
2015-07-09,7,0.5,25.022068571428573,temperature
2015-07-09,7,1,24.949264705882353,temperature
2015-07-09,7,1.5,24.870484210526318,temperature
2015-07-09,7,10,7.9470210526315785,temperature
2015-07-09,7,10.5,7.744625,temperature
2015-07-09,7,11,7.635116666666667,temperature
2015-07-09,7,2,24.842319444444446,temperature
2015-07-09,7,2.5,24.794384210526317,temperature
2015-07-09,7,3,24.188318604651162,temperature
2015-07-09,7,3.5,21.798690384615384,temperature
2015-07-09,7,4,20.021773684210526,temperature
2015-07-09,7,4.5,17.39780465116279,temperature
2015-07-09,7,5,14.832251351351351,temperature
2015-07-09,7,5.5,12.4568,temperature
2015-07-09,7,6,11.282114285714286,temperature
2015-07-09,7,6.5,10.617015789473685,temperature
2015-07-09,7,7,10.01047,temperature
2015-07-09,7,7.5,9.496424242424242,temperature
2015-07-09,7,8,9.119377272727272,temperature
2015-07-09,7,8.5,8.756020588235295,temperature
2015-07-09,7,9,8.377723333333334,temperature
2015-07-09,7,9.5,8.191089285714286,temperature
2015-07-16,7,0,25.8859,temperature
2015-07-16,7,0.5,25.814852173913042,temperature
2015-07-16,7,1,25.7569875,temperature
2015-07-16,7,1.5,25.655560714285713,temperature
2015-07-16,7,10,8.146315151515152,temperature
2015-07-16,7,10.5,7.9145486486486485,temperature
2015-07-16,7,11,7.793933333333333,temperature
2015-07-16,7,2,25.44712121212121,temperature
2015-07-16,7,2.5,25.128195833333333,temperature
2015-07-16,7,3,24.40305769230769,temperature
2015-07-16,7,3.5,22.665468965517242,temperature
2015-07-16,7,4,19.82156896551724,temperature
2015-07-16,7,4.5,17.158835294117647,temperature
2015-07-16,7,5,14.889331034482758,temperature
2015-07-16,7,5.5,13.106806060606061,temperature
2015-07-16,7,6,11.807762499999999,temperature
2015-07-16,7,6.5,10.760330303030303,temperature
2015-07-16,7,7,9.850638709677419,temperature
2015-07-16,7,7.5,9.067954838709678,temperature
2015-07-16,7,8,8.611712121212122,temperature
2015-07-16,7,8.5,8.389614705882353,temperature
2015-07-16,7,9,8.2710625,temperature
